,MK,Kb,MKH,cont,Ka
RP11-314N13.9,0.0105209,0.0259389,0,0.0311728,0.0171686
RP11-314N13.3,0.189456,0.18265,0.194401,0.194221,0.194557
RP11-314N13.10,0.118465,0.0714235,0.124794,0.0638232,0.0918631
CTD-2544M6.1,0,0,0,0,0
IGHVIII-51-1,0,0,0,0,0
RP11-167B3.1,0,0,0,0,0
EIF2S3,129.817,120.26,52.6104,99.8423,78.3034
AC009228.1,0,0,0,0,0
IGHVII-51-2,0,0,0,0,0
RP11-183E24.1,0,0,0,0,0
SHROOM3,27.5299,17.1928,11.0776,17.7149,13.5462
RP13-235E23.1,0,0,0,0,0
LINC01582,0,0,0,0,0
HMGN2P20,0,0,0,0,0
RPL36AP13,0,0.261104,0.0884411,0.0731918,0
PABPC1P13,0,0,0,0,0
SDCBP2,0.433813,0.631677,0.680053,0.733827,0.676123
RP11-571L19.8,1.36129,1.55997,1.80325,1.03687,1.38085
RP5-1025A1.3,0.0716501,0.0697547,0,0,0.0291073
NCR2,0.0176562,0,0,0.0150979,0
RP11-626K17.3,0,0,0,0,0
RP11-167B3.2,0,0,0,0,0
SLCO4A1-AS1,2.35488,7.95084,15.2993,6.18149,4.09476
TMEM205,42.3883,31.6561,31.5522,39.443,41.6389
RP11-626K17.2,0,0,0,0,0
DDX39A,63.9941,59.6583,50.1427,56.534,52.6358
AC092066.6,0,0,0,0.0651188,0
RP11-167B3.3,0,0,0,0,0
CTD-2260A17.2,0.581086,0.438648,0.293539,0.346635,0.482131
RP11-78J21.7,1.01804,1.23881,1.2364,1.30355,0.921073
RP11-278A23.2,0,0,0,0,0.0592833
JPH3,0.00400828,0.0113466,0.0308846,0.0171492,0.0229036
FURIN,23.8154,26.6593,7.3742,15.1124,11.4699
MRPS31P4,1.30255,1.44448,1.78967,1.17448,1.34506
RP11-452L6.8,0,0,0,0,0
ERAP2,4.63424,5.98726,5.33006,6.32294,5.25761
COX6A2,0,0,0,0,0
ZFP1,3.6668,4.3793,4.50932,4.65259,4.87313
HNRNPA1L2,0.763815,0.815065,0.814033,0.898687,1.03287
RP11-93H24.3,0.520743,0.398379,0.579766,0.561067,0.283293
MAPK14,76.3388,66.876,54.2397,65.095,70.0556
RP11-359D14.3,0,0,0,0,0
RP11-278A23.1,0.0863866,0.0993024,0.116443,0.0985906,0.101802
AC107072.2,0.284272,0.142464,0.144131,0.12071,0
RP11-482M8.3,0,0,0,0,0
HTN1,0,0,0,0,0
RP11-688H10.1,0,0,0,0,0
CTC-497E21.5,0,0,0,0,0
RP11-359D14.2,0.11524,0.267647,0.0807211,0.125844,0.186719
ZNF843,0.0156055,0.00944159,0.0596186,0.0126432,0.0265464
RP11-413N13.1,0,0,0,0,0
MADCAM1,0.147949,0.205831,0.129697,0.213275,0.149839
AL022393.9,0.203335,0.21973,0.0902212,0.164964,0.124029
ZNF603P,0,0,0,0,0
RPLP1P13,0.574115,0.223084,0.115627,0.479564,0.282207
PSG4,3.07279,2.72408,0.895174,0.823894,2.48211
SACS,9.69547,9.83879,11.4503,9.34766,11.7723
RP11-452L6.1,0,0.164679,0.115109,0.190787,0.329199
RP11-331F4.1,0,0,0,0,0
PSMC1,79.3241,76.1812,69.8823,79.0406,78.6599
ZNF674,1.5638,1.25731,1.25864,1.79654,2.21485
FKBP1A,148.666,165.39,143.802,157.296,166.762
CTD-2035E11.3,3.76787e-14,0,0,0,0.0471315
RP1-71H19.2,0.184356,0,0,0,0
RP11-203L2.3,0,0.011643,0.0250028,0.00955858,0.0289772
ANXA2R,0.334847,0.350484,0.43048,0.303145,0.450197
PEF1,30.2599,30.8834,31.8073,29.1672,30.1511
PRIM2,32.3696,32.6672,29.2474,29.812,36.1684
RBMY1A3P,0,0,0,0,0
FAM122A,4.53673,4.64003,5.87617,5.47825,6.42349
CTRB2,0.00724529,0,0.0208181,0.0191178,0.0179228
AP001437.1,0.3888,1.09115,0.450207,0.632451,1.40626
ENSG00000280218,0,0,0,0,0
MTCO3P17,0,0,0,0,0
DBF4P1,0.0559441,0.0553212,0.360569,0.33232,0.30427
DYRK1A,30.4837,29.2775,26.2207,24.7239,23.7327
RP11-452L6.5,0.874279,1.12467,1.31601,1.10003,1.31108
CCDC159,1.90828,2.90201,1.84188,2.18874,2.42221
RPL17P35,0,0,0,0,0
MTND3P17,0,0,0,0,0
MLF2,66.2504,61.1139,61.6129,65.704,55.522
RASL11A,0.909269,1.26622,2.33086,1.53187,1.86763
ENSG00000119632,60.2428,59.0627,58.9213,64.7519,74.8892
CYP2C61P,0,0,0,0,0
ARMC5,4.82543,4.26272,5.53853,4.84351,4.6005
ANXA2P3,0,0,0,0.0407387,0.0208087
C19orf84,0,0,0,0.00798165,0.0125287
RP11-179K3.2,0,0,0,0,0
RP4-612C19.2,0,0,0,0,0
NEK4P3,0,0,0,0,0
TMED5,55.1189,52.4655,51.4295,57.0465,54.4003
RP11-1029J19.4,0,0,0,0,0
MTND4P30,0,0.031448,0,0,0
RP11-796G6.1,0.148312,0.240707,0.155275,0.0799137,0.446734
MTND4LP17,0,0,0,0,0
RP11-1029J19.5,0.152712,0.100205,0.100244,0.0449167,0
LINC00239,0.155259,0.306605,0.420175,0.286699,0.234632
ENSG00000235696,0,0,0,0,0
RP11-196B3.1,0,0,0,0,0.00680654
CTD-2616J11.14,0,0.274562,0.345212,0.173051,0.284877
RP11-196B3.2,0,0.0117651,0,0,0
TPGS1,9.60247,7.45887,8.61807,4.25189,8.56558
NIFKP6,0.0227433,0.0448994,0.0243522,0.0405291,0.0187465
RP11-196B3.3,0.0350719,0,0,0,0
CELA1,0.0202068,0,0.0996909,0,0
IGHV3-52,0,0,0,0,0
AC005775.2,0.487584,0.115578,0.199053,0.22905,0.0852963
ENSG00000233948,0,0,0,0,0
AC010761.6,0.280309,3.51407e-21,0.0168489,0.106673,0.0359131
ENSG00000234100,0,0,0,0,0
AC010761.14,0,0,0,0,0
RP11-73M7.6,0,0.0648469,0.0508768,0.0234249,0.0192565
GTF2H2C_2,0,0,0,0,0
TLCD1,11.9046,8.32231,11.5264,8.87979,11.0495
CTA-363E6.1,0,0,0,0,0
ENSG00000277106,0,0,0,0,0
CTD-2123J17.2,0,0,0,0,0
RPL8P2,0,0,0.0340518,0,0
CLEC19A,0,0,0,0,0.0361446
CXXC1,13.3657,13.8134,7.81653,14.1572,15.9407
RPL23AP58,0.174769,0,0.089368,0.168148,0.0706634
DR1,48.2567,51.9653,52.0568,47.2878,49.2766
NRDE2,5.04792,5.09889,5.60559,5.32801,5.85847
ENSG00000225927,0,0,0,0,0
SUFU,8.61421,7.1318,3.8668,5.35869,3.18734
PSG2,0.0141604,1.15213e-06,0.0239227,0.0145859,0.110281
HCRTR1,0.0106433,0.0429845,0.0127006,0.0116787,0.0215022
CTRB1,0,0,0.034822,0,0
ZNF192P2,0,0,0,0.0150773,0
ENSG00000277956,0,0,0,0,0
ZFX,20.5698,19.6634,12.1793,17.5576,17.5233
PSG6,0.0389149,0.00817124,0.0433423,0.0555588,0.778215
PROSER1,3.98865,3.74414,5.17076,3.64135,4.04876
PLXNB3,3.53605,3.14075,4.99204,3.64861,4.97366
RP11-809H16.5,0,0,0,0,0
NEK8,1.50125,1.76517,1.09162,1.45307,1.36588
EWSAT1,0.0440081,0.0970786,0.192065,0.169477,0.283
RP11-73M7.9,0.0394748,0,0,0,0
CCDC18,5.20176,6.38034,7.0753,5.61342,6.56748
CTC-510F12.6,0.0762656,0.120966,0.105304,0.10637,0.197536
RAB3D,1.49484,1.09623,1.55376,2.51149,1.79094
ENSG00000232397,0,0,0,0,0
AC005189.6,0,0,0,0,0
BLVRA,27.7686,29.5757,30.7873,33.5369,24.5568
ENSG00000243441,0,0,0,0,0
AC005392.13,0.0358832,0,0,0,0.058579
CLCN5,2.28279,2.26854,0.777981,1.55614,2.5417
CEACAMP9,0,0,0,0,0
ENSG00000248182,0,0,0,0,0
PAX3,0,0,0.0122868,0,0
PSG7,0.263244,0.16508,0.20348,0.0956163,0.778188
ENSG00000233481,0,0,0,0,0
ENSG00000224487,0,0,0,0,0
CDHR4,0,0,0.0856789,0.0168568,0.00477806
LCA5,0.900592,0.68646,1.14106,0.802562,1.14502
ENSG00000237258,0,0,0,0,0
AC023115.4,0,0,0,0,0
MRPS12,31.7064,31.0912,29.5744,30.923,31.5906
TGFA,33.1368,30.817,30.4391,24.7359,22.3411
ITPR3,39.366,34.3146,33.0927,36.1717,43.3886
DSTNP1,1.51651,2.71221,1.31047,1.71235,1.54445
CEACAMP7,0,0,0,0,0.0254663
RP1-39G22.7,2.86589,3.06901,2.32662,3.2276,3.66357
PSG11,0.0180158,0.0369453,0.0500937,0.0463148,0.17984
RP11-229C3.4,0,0,0,0,0
CTD-2503O16.1,0,0,0,0,0
ZFX-AS1,0.056444,0,0,0,0
CTD-2503O16.4,0,0,0,0,0
DYNC1I2,39.8314,40.17,29.9214,35.0111,31.8546
CTD-2503O16.3,0,0,0,0,0
RPL23A,605.038,519.981,486.724,492.618,481.885
RPL27AP5,0.0732853,0.0719478,0.0732459,0.0620055,0.181235
LMF1-AS1,0,0.0382488,0.0390229,0.0451916,0.052967
RP11-342L8.2,0,0,0,0.0937048,0.0960961
LINC00686,0,0,0,0,0
RP11-791M20.1,0,0,0,0,0.0195386
RP11-161M6.6,1.10553,0.978792,1.13353,1.12033,1.08858
RP11-177G23.2,0.0880638,0.172942,0.0951881,0.0687378,0.0712098
RP11-161M6.2,0,0,0,0,0
RP11-177G23.1,0.0271529,0.0131369,0.058348,0.0102936,0.0550517
CTD-2651B20.7,0.443922,0.219286,0.258441,0.469808,0.380667
PRMT2,32.7774,41.9403,24.6639,35.13,25.2173
HESX1,0.2282,0.173721,0.315425,0.20179,0.153828
CTSL,51.3917,55.6434,38.3422,53.8264,49.3725
SARS2,14.4095,18.3785,12.3139,16.9017,15.2902
SH3BGRL2,0.433485,0.302617,1.15388,0.599824,0.806903
NLRP14,0.0537501,0.0388963,0.12302,0.0352989,0.0622446
DUOX1,0.171995,0.323071,0.454691,0.557155,0.358784
ABCD1,7.31753,4.71648,5.97959,6.7318,7.65592
PSG5,1.06073,1.99847,0.795949,1.59639,2.43304
LINC01621,0,0,0,0,0
LMF1,0.81939,0.852106,0.904143,0.989067,1.44708
TMEM210,0.112856,0,0,0,0
CSN1S2AP,0,0,0,0,0
NTSR1,0.0143305,0.0231621,0.26801,0.100263,0.0937993
U52111.14,0.927244,0.572277,0.340737,0.215262,0.697763
PTPRM,32.8019,46.714,19.8667,33.5989,28.0369
LRRC26,0.926367,0.501205,1.96992,0.124771,0.501125
TGFA-IT1,0.0469712,0,0.0474173,0,0
METTL22,3.0338,3.36765,3.45517,3.88957,4.62521
PLAA,20.5052,17.6195,20.2846,20.004,21.2794
RP11-370F5.4,0,0,0,0,0
RP11-350O14.18,0.212684,7.34505e-12,1.88803e-09,0.0528837,1.67275e-86
RP11-93B14.4,0,0.0225679,0.117794,0,0.0200087
RP6-159A1.2,0.0743425,0.0587426,0.0491178,0.0296174,0.0800591
GCNT4,0.0260334,0.0512696,0.0448651,0.0514021,0.143654
AREL1,16.0568,17.7886,15.8962,16.9622,17.4681
RP6-159A1.3,0,0,0,0,0
RP4-612C19.1,0.0788439,0,0.162824,0,0.064286
MTND5P14,0.0177956,0.0356932,0.0570314,0,0
RP4-717I23.2,0,0,0,0,0
MTCO3P11,0,0,0,0.0236505,0
AC010761.8,4.81487,4.55438,3.71168,4.34441,5.49329
RP6-159A1.4,0,0,0,0,0
PROM2,1.17311,1.24017,0.983698,2.29694,1.8009
CCDC18-AS1,3.68837,4.90417,2.62305,3.70472,5.35713
MTCO1P11,0,0.0153362,0,0.0125595,0.0251406
PDSS1P1,0.016447,0,0.0698086,0.0260812,0.0934671
PTMS,52.8702,54.267,69.9665,60.7432,48.2278
MTATP6P11,0.0394405,0,0.126613,0,0
MTND6P5,0,0,0.0775859,0,0
IGHEP2,0.0189454,0.0184889,0.02816,0,0.023154
CSNK1G2P1,0,0,0.0147003,0.0135444,0.0129573
CEACAMP8,0,0,0,0,0
MTND4P14,0,0.0174631,0.0187418,0.0142138,0.0141002
ENSG00000119698,0.37185,0.285234,0.591216,0.275832,0.530107
ENSG00000275433,0,0,0,0,0
TCF3P1,0,0.00789688,0.031406,0.0148697,0.00701479
MTND1P11,0.08366,0.0276716,0.0294501,0.0228181,0
IGHV3-53,0,0,0,0,0
RP11-79D8.2,0,0,0,0,0
ZDHHC18,10.2387,9.92364,5.90779,8.37071,9.53676
IGHVII-53-1,0,0,0,0,0
JAK2,1.6233,1.32197,1.84975,2.26279,2.59455
RP11-179H18.8,0,0,0,0,0
IGHV3-54,0,0,0,0,0
DNAH7,0.07597,0.083454,0.163997,0.0891992,0.112129
IGHV4-55,0,0,0,0,0
IGHV7-56,0,0,0,0,0
CTA-363E6.3,0.013139,0,0,0.0314484,0.0746726
CTA-363E6.2,0.0691101,0,0,0,0.0130453
ABCD1P3,0,0,0,0,0
IGHV3-57,0,0,0,0,0
ENSG00000233095,0,0,0,0,0
IGHV1-58,0,0,0,0,0
IGHV1-69-2,0,0,0,0,0
ENSG00000242335,0,0,0,0,0
IFT74-AS1,0.151772,0,0.312476,0.124649,0.0621192
LRRC19,0.047838,0.0745307,0.144741,0.0569051,0.0996598
RASL10B,0,0.0097242,0.0491726,0.0264427,0.00830862
RP11-273B20.3,0,0,0,0,0
IGHVII-60-1,0,0,0,0,0
STX4,14.2059,15.0832,14.1757,15.2854,16.4634
IGHV3-60,0,0,0,0,0
IGHV4-61,0,0,0,0,0
BMP1,7.9034,8.16674,7.18108,14.0193,10.701
IGHV4-59,0,0,0,0,0
VSX1,0.316862,0.501166,0.25911,0.263765,0.52168
AC015849.19,0.4006,0.431447,0.785587,0.526422,0.797748
AKR1C3,66.4242,51.8835,29.9499,44.8199,14.5548
LA16c-306A4.1,0,0,0.180444,0.0673136,0.13935
CCDC140,0,0,0,0,0
STAMBPL1,37.8427,32.048,29.6954,27.1563,29.2904
LA16c-306A4.2,0,0.00464112,0.00469741,0,0.00191276
IFT74,6.57989,7.76738,6.91315,7.47086,7.77522
AC015849.14,0.148267,0.0483049,0.154196,0.0776837,0.0401508
GRPEL1,34.3142,30.3908,32.3109,33.4942,32.8224
CTC-261N6.3,0,0,0,0,0
ENSG00000270379,0,0,0.00821952,0,0.00375446
SUPT20HL2,0,0,0,0,0
AC092316.1,0,1.0137e-112,0,0,0
SUPT20HL1,0,0,0,0,0
ENSG00000277361,0,0,0,0,0
MYO1F,0.196045,0.648079,1.3305,0.915795,0.471727
UQCRH,160.313,137.838,173.835,144.056,157.272
RP11-147K6.1,0,0,0,0,0
ABCG2,5.33799,6.0716,2.79406,4.65817,9.52294
PRR27,0,0,0,0,0
ENSG00000276726,0,0,0,0,0
AC123886.2,0,0,0,0,0
FBXO17,16.1913,13.5421,4.36808,9.04087,5.79777
AC114776.1,0.145228,0.288041,0.396853,0.204079,0.43293
ZNF674-AS1,4.08762,3.43406,2.0093,4.59873,5.20205
MKI67P1,0.00634253,0,0,0.00516119,0.0154312
RP11-546B15.1,0.0204083,0.14044,2.2609e-15,1.00681e-283,0.0806378
ETAA1,6.37678,7.30351,6.91243,6.33373,6.59842
RP11-631M21.7,0.0446595,0.0210401,0.0453029,0.103717,0.0908467
ACTA2-AS1,0.290878,0.364879,0.481733,0.285111,0.363065
CTC-261N6.1,0,0,0,0,0
SLC4A8,0.366475,0.65962,2.1748,0.945525,1.02061
RP11-62G11.2,0,0,0,0,0
ACTA2,1.08999,0.956578,1.19496,1.16521,1.20818
FAM110C,0,0,0,0.0126082,0
GS1-184P14.2,0.228014,0.0728941,0.226502,0.126542,0.187793
RP11-444P10.1,0,0,0,0,0
ANKRD24,0.0846025,0.0755742,0.0443906,0.109885,0.0937857
SLC39A1,87.1939,87.1323,73.9109,82.8628,81.3402
CTC-360G5.9,0.0698588,0.0411759,0.039731,0.0661916,0.0302643
FEM1AP4,0,0,0,0,0
CHST7,8.53326,6.46317,3.95246,4.48278,5.28584
CTC-360G5.8,3.03432e-10,6.77001e-17,8.46781e-10,8.5076e-09,6.37543e-17
AC114760.1,0,0,0,0,0
IER2,30.1619,27.0947,31.6171,38.327,40.8994
E2F3P2,0.00951271,0.00923603,0,0.0151627,0.00774557
RP11-47A8.5,11.7711,3.82802,9.66701,2.95414,3.58491
CTC-250I14.6,0.043132,0.096733,3.55846e-09,0.164204,0.0866284
HPRT1P2,0,0,0,0,0
MTCO2P11,0,0,0.0624677,0,0
ZMYND15,0,0.0167678,0,0.0100672,0.0221632
RP11-173A8.2,0.470594,0.121203,0.216087,0.275691,0.455226
RP11-621L6.3,0,0,0,0,0.0531002
MURC,0.585154,0.433457,0.75955,0.701584,0.820135
PPIAL4E,0.0226214,0,0,0,0
RP4-735C1.4,1.03736e-34,7.31858e-50,1.00587e-35,3.59618e-53,1.30574e-41
RP11-147K6.2,0,0,0,0,0
PKD1P6,3.7319,3.37674,2.63688,2.72767,3.37075
ENSG00000276734,0,0,0,0,0
KRTAP24-1,0,0,0,0,0
IGHV3-62,0,0,0,0,0
RP11-136H13.2,0,0,0,0,0
CTBP2P2,0,0,0.0201228,0,0
ACTG1P19,0,0.0204721,0.0106343,0,0.0171735
BSPRY,0.0602058,0.110886,0.0372982,0.0380361,0.0202004
EPS8L3,0,0,0,0,0
IGHVII-62-1,0,0,0,0,0
RP11-666A1.7,0,0,0,0,0
PNP,37.8647,27.465,47.2922,39.2477,44.674
IGHV3-63,0,0,0,0,0
RP11-62L10.1,0,0,0,0,0
KRTAP25-1,0,0,0,0,0
RP11-763B22.4,0.0715968,0,0,0.0602994,0
NSUN4,5.11068,4.73882,9.01951,5.7505,7.74637
RPL12P42,0.152079,0.0887798,0.125084,0.172224,0.074912
LINC02154,0.101495,0.0144048,0.149799,0.0794353,0.15411
RP11-763B22.3,0.0447722,0.0823701,0.0820296,0.157059,0.0743856
RPL19P11,0,0,0,0,0
CTD-2127O16.2,0,0,0,0,0
KRTAP26-1,0,0,0,0,0
ZDHHC23,1.11282,2.16592,1.04631,1.22527,1.40333
ENSG00000235396,0,0,0,0,0
ENSG00000261819,0.077354,0.0276741,0.10036,0.121718,0.0319184
KRTAP27-1,0,0,0,0,0
GLCE,9.43601,13.4073,10.8295,12.4108,11.7208
RP1-179N16.3,0.339673,0.444912,0.528134,0.443092,0.641459
KRTAP23-1,0,0,0,0,0
UQCC2,32.4649,40.7594,40.5119,37.9609,38.6222
ENSG00000157045,42.8354,44.6129,38.2283,38.4093,38.5012
RP11-46F15.2,0.0289237,0.0272374,0,0.0490698,0.0238746
ASB14,0.209382,0.243224,0.252123,0.201101,0.242089
KRTAP13-6P,0,0,0,0,0
RP11-325L12.5,0.134448,0.18142,0.0969445,0.0718628,0.108782
NDUFA8P1,0,0,0,0,0.151522
RP11-323C15.1,0,0,0,0,0
MTFMT,5.43548,7.73183,4.51148,6.56011,6.37562
ENSG00000230504,0,0,0,0,0
RP11-46O21.2,2.41706e-116,0.0205009,5.8829e-150,0.017671,0
KRTAP13-2,0,0,0,0.0272489,0
SERPINB6,59.0612,54.0714,51.9201,65.7867,63.8983
ENSG00000225773,0,0,0,0,0
RP11-152K4.2,0,0,0,0,0
POLR3DP1,0,0.0391458,0.0247274,0.0133315,0.00673007
LINC00387,0,0,0,0,0
CBLC,0.0293677,0.00941372,0.0105843,0.0388847,0.00812223
TPRG1L,7.63021,7.92087,10.2124,7.74364,8.5838
TIMM9P1,0,0.298042,0.152968,0,0.122674
CDH6,0,0,0.00434504,0,0
HSP90AA5P,0.0246534,0.0119608,0.00657398,0.00945466,0.0200524
TIAL1,30.2618,37.3661,41.646,39.6703,37.9484
KRTAP13-1,0,0,0,0,0
ADK,50.9078,47.1773,52.7544,47.881,54.7303
RP11-678G15.1,0.0893838,0.0509053,0.0408497,0.112831,0.0103528
MTCO1P54,0,0,0,0,0
ZMPSTE24,62.6859,52.9988,64.4511,65.6411,65.0158
SERTAD1,6.01081,5.25667,10.2583,7.77275,9.80961
RP11-376P6.3,0.0652065,0.267084,0.0742936,0.10069,0.158598
RP11-789C17.1,0.162068,0.28659,0.145997,0.163352,0.1764
GRB10,24.7238,21.3126,26.8122,20.585,17.0794
RP11-678G15.2,0.0184562,0,0.0184095,0.0581268,0.0282964
KRTAP13-3,0,0,0,0,0
RP11-778D9.13,0.168475,0.166642,0.061486,0.262573,0.411124
HDHD3,6.61072,7.88637,5.54104,6.94223,7.32009
RP11-789C17.3,0.0538469,0,0.0269602,0,0
QTRT2,8.31846,7.64776,9.54475,8.21575,8.52203
RP11-789C17.5,1.61115,1.97122,1.34368,1.34672,1.05781
APPL1,27.8966,29.9621,23.8646,27.1605,23.6911
KRTAP13-4,0,0,0,0,0
RP11-441G8.1,0,0,0,0,0
AC130469.1,0,0,0,0,0
RP11-476M19.2,0,0,0,0,0.0341319
TTTY20,0,0,0,0,0
RP11-536C10.13,0,0,0,0,0
ZIC5,0,0,0,0,0.0035558
CTD-2562J15.6,0.0317108,0,0,0.0529173,0
RP11-536C10.16,0,0,0,0,0
RP11-123J14.4,0,0,0,0,0
RP11-536C10.12,0.00627226,0.00607757,0.00645497,0,0.00509649
GAPDHP26,0,0,0,0,0
RP11-536C10.14,0,0,0,0,0
RP11-536C10.7,0,0,0,0,0
RP11-536C10.11,0,0,0,0,0
ENSG00000262148,0,0,0,0,0
CSRNP3,0.644328,0.490322,0.237056,0.463495,0.17045
RP11-434P11.2,0.185852,0.110108,0.196373,0.209887,0.241162
AC079779.7,0,0,0,0,0
RP11-203M5.8,9.85286e-75,9.9011e-30,1.95098e-117,0.0130028,1.45037e-74
RP1-161P9.5,0,0,0,0,0
TERF1P5,0,0,0,0.0104927,0
E2F4,28.5176,33.7107,25.3099,28.6774,28.5801
RP11-280O24.3,0,0,0.0159331,0.0129581,0
DUX4L51,0,0,0,0,0
ENSG00000271447,0.217066,0.137223,0,0.295071,0.0727167
KLHL17,9.63962,11.9033,9.87219,10.7627,13.9705
RP11-120J1.1,0.793867,0.59802,0.187704,0.272094,0.289559
ENSG00000233169,0,0,0,0,0
ENSG00000263314,0,0,0,0,0
ENSG00000228177,0,0,0,0,0
ENSG00000273947,0,0,0,0,0
FAM207BP,0.154958,0,0.0726239,0.100049,0.0322786
ENSG00000278362,0,0,0,0,0
GXYLT1P1,0,0,0,0,0
RP6-114E22.1,0,0,0,0,0
ENSG00000278339,0,0,0,0,0
YBX1P8,0.038514,0,0.0130997,0,0.0419128
RP11-434P11.1,0.481354,0.586335,0.493746,0.498663,0.442595
ZIC2,2.50457,3.44947,2.70078,2.44501,2.60688
PGAM1P7,0.415165,0.486905,0.5082,0.459232,1.1855
GSTM3,52.0787,41.7894,42.214,41.1056,28.4955
PAFAH1B1,51.9972,50.2772,56.0919,51.8319,58.6341
RP11-198M15.1,0.097354,0.081106,0.0866048,0.0788856,0.144229
RAB5CP1,0.0205591,0.0620166,0.0214503,0.0177227,0.0335592
SLC9A7,21.8152,22.0283,14.1655,22.442,24.7283
ENSG00000227222,0,0,0,0,0
MRPL35P3,0,0.25197,0.259066,0.141695,0.63096
RP1-39G22.4,0,0.206086,0.328028,0.164755,0.41698
ENSG00000233490,0,0,0,0,0
ENSG00000262911,0,0,0,0,0
NPIPP1,1.69454,1.67221,1.66027,1.69137,1.75285
RPSAP6,0.106905,0,0.0434947,0,0.0176257
RP11-223P11.2,0,2.68472e-78,0.0305406,0.0122342,0.0122559
NFIB,7.07202,6.78374,5.89349,5.26806,5.34786
RP11-652G5.1,0,0,0,0,0
DUOX2,0,0.00674986,0.00948893,0.00202491,0
DOCK1,8.41338,13.7949,16.4098,14.007,14.6363
RP11-652G5.2,0,0,0,0,0
ENSG00000148123,0,0,0,0,0
CNN2P12,0,0,0,0,0
ATXN3L,0,0,0,5.29876e-07,0
PFN1P6,0.293953,0.80767,0.705544,0.621703,1.01231
ENSG00000085721,9.80335,10.6476,9.78556,10.5947,10.302
CLIC4,135.829,123.536,189.103,128.758,126.639
LINC01986,0,0,0,0,0
NBPF15,11.0708,11.512,11.0952,9.80555,11.463
AY269186.2,0,0,0,0,0
GS1-600G8.3,0,0,0,0.00589442,0
EBI3,1.0854,1.44832,0.174866,0.757195,0.283924
RP11-422P24.11,0.278841,0.373347,0.401738,0.297273,0.534208
RP11-536C10.15,0,0,0,0,0
RP11-422P24.10,0.817446,1.06892,0.864524,0.828723,1.55828
ZNF965P,0,0,0,0,0
ENSG00000275841,0,0,0,0,0
RP11-476M19.3,0,0,0,0,0
C9orf129,0.014259,0.02712,0.0134717,0,0.011842
KRTAP13-5P,0,0,0,0,0
PRMT8,0.0106671,0,0.032736,0,0.00904737
CREB3L4,3.10579,4.06602,3.51108,3.93351,4.66669
FAM117B,1.27251,1.10355,0.877182,0.880496,0.934944
RP11-861L17.4,0,0,0.136006,0,0
LINC02001,7.35669,6.55503,5.41143,6.95311,7.31751
RP11-106E15.1,0,0,0,0,0
AC012593.1,0,0,0,0,0
GSTM5,0,0.0400437,0.0119899,0.00966232,0.00682187
RP11-70K10.2,0,0,0,0,0
CCDC102B,0.60711,0.285805,0.646504,0.561214,0.367777
WNK2,0,0.00592132,0.00858344,0.0112203,0.00536153
ADAM17,17.727,17.2054,12.4245,14.0095,10.5745
C17orf50,0,0.035006,0,0,0
RP11-255E6.5,0,0,0,0,0
RP11-367J11.3,0.0937761,0.0855182,0.0699256,0.025597,0.0709463
TRIM8,165.401,80.1252,69.865,72.6013,59.0147
ENSG00000277961,0,0,0,0,0
CCDC191,0.167388,0.359977,0.267949,0.311105,0.283498
CTC-507E2.2,0,0,0.519641,0,0.484801
RP11-96K14.1,0,0,0,0,0
AC019064.1,0,0,0,0,0
AC010987.5,0,0,0,0,0.578633
AC007422.1,0,0.0139651,0.0153798,0,0
ENSG00000276068,0,0,0,0,0
ENSG00000270647,14.6875,13.4166,18.2696,13.8818,16.3324
RP11-90B22.1,0,0.314698,0.665055,0,0.262358
ENSG00000280759,0,0,0,0,0
RP11-476M19.1,0,0,0,0,0
RPL21P111,0,0,0,0,0
RP11-293A10.3,0,0,0,0,0
RP11-476F14.1,0,0,0,0,0
FNDC7,0,0.0044448,0,0.00369544,0
RP11-135N5.3,0.377333,0.438091,0.439127,0.354319,0.641355
NUDT16,5.98819,5.16705,4.89404,5.05789,4.79825
ENSG00000224395,0,0,0,0,0
SAMD11P1,0.140128,0.105282,0,0.117688,0
RP11-74E22.5,3.84865e-10,6.226e-20,4.79625e-18,2.42848e-30,2.53718e-36
RP11-80H8.3,0,0,0,0,0
RP11-123J14.1,0,0,0,0,0
CTC-492K19.7,0.0611675,0.18238,0.0625883,0.0778886,0.19992
RP11-400G3.5,0,2.40626e-07,1.22909e-17,1.61765e-06,8.5758e-09
OR7E90P,0,0,0,0,0
RP11-517B11.7,0.313178,0.238273,0.443,0.35637,0.455063
MTND4P19,0,0,0,0,0
ENSG00000223648,0,0,0,0,0
CYP2C19,0,0.00806134,0,0.0199206,0.0310763
CHST2,6.18451,6.52395,6.60093,6.0534,7.48865
GS1-358P8.4,1.50118,2.32912,1.573,2.31831,2.78476
IGHV3-65,0,0,0,0,0
HORMAD1,0.0249093,0,0,0.0076441,0.0208285
TMX3,16.8196,17.2757,11.8392,17.4813,17.4802
PDK3,5.4958,7.23439,4.29288,6.84494,8.13352
MBIP,5.44267,5.73014,11.0809,9.31708,10.6477
RP11-80H8.4,2.9429e-09,0.0520542,6.65519e-09,0.0429931,0.129334
RP11-666A1.4,0,0,0,0,0
AC073069.2,0,0,0.0548421,0,0
SOWAHB,0.0993855,0.0719277,0.05231,0.148388,0.0960832
RP11-586K12.13,0,0,0,0,0
NPIPB12,0.0475652,0.0112612,0.0865854,0.0586218,0.169343
CNTFR,0,0,0,0,0
